task,split,metric,n_seeds,mean,std,n_defined_seeds
open_drawer,seen,baseline_fraction,2,0.0843404427404356,0.022365556636484502,2
open_drawer,seen,brier,2,0.09625824251501078,0.06636846405189863,2
open_drawer,seen,discrimination_auc,2,0.3802889576883385,0.016783752288225595,2
open_drawer,seen,ece,2,0.08372803729543554,0.058010838528476535,2
open_drawer,seen,execute_fraction,2,0.21314738351065815,0.0140365417010457,2
open_drawer,seen,expand_fraction,2,0.3656527016992167,0.48472024892195004,2
open_drawer,seen,high_confidence_failures,2,2.0,1.4142135623730951,2
open_drawer,seen,high_confidence_n,2,20.0,0.0,2
open_drawer,seen,n,2,20.0,0.0,2
open_drawer,seen,restart_fraction,2,0.3368594720496894,0.4763912339865113,2
open_drawer,unseen,baseline_fraction,2,0.12413192367995861,0.03255134105743722,2
open_drawer,unseen,brier,2,0.024078860780938197,0.03397823057422408,2
open_drawer,unseen,discrimination_auc,2,0.47368421052631576,,1
open_drawer,unseen,ece,2,0.015809082080973036,0.012106581428026479,2
open_drawer,unseen,execute_fraction,2,0.2013547898277638,0.014373015719509075,2
open_drawer,unseen,expand_fraction,2,0.3586111576235594,0.4641807562252156,2
open_drawer,unseen,high_confidence_failures,2,0.5,0.7071067811865476,2
open_drawer,unseen,high_confidence_n,2,20.0,0.0,2
open_drawer,unseen,n,2,20.0,0.0,2
open_drawer,unseen,restart_fraction,2,0.31590212886871827,0.4460024308872876,2
pick_cup,seen,baseline_fraction,2,0.07341618865993398,0.03906557653755682,2
pick_cup,seen,brier,2,0.0961649921600494,0.0023689013682507256,2
pick_cup,seen,discrimination_auc,2,0.5,0.11785113019775793,2
pick_cup,seen,ece,2,0.08153406965628035,0.009090360618358481,2
pick_cup,seen,execute_fraction,2,0.22457247105095546,0.01672901873372244,2
pick_cup,seen,expand_fraction,2,0.33960948396094837,0.4802803381281013,2
pick_cup,seen,high_confidence_failures,2,2.0,0.0,2
pick_cup,seen,high_confidence_n,2,20.0,0.0,2
pick_cup,seen,n,2,20.0,0.0,2
pick_cup,seen,restart_fraction,2,0.36240185632816213,0.45794378032426686,2
pick_cup,unseen,baseline_fraction,2,0.13725574773376167,0.1265010398637735,2
pick_cup,unseen,brier,2,0.024765095600588937,0.03411515338867085,2
pick_cup,unseen,discrimination_auc,2,0.6842105263157895,,1
pick_cup,unseen,ece,2,0.03154896493127002,0.009184671584028555,2
pick_cup,unseen,execute_fraction,2,0.20474363358989828,0.047181844190403686,2
pick_cup,unseen,expand_fraction,2,0.3479214780600462,0.4920352729134106,2
pick_cup,unseen,high_confidence_failures,2,0.5,0.7071067811865476,2
pick_cup,unseen,high_confidence_n,2,20.0,0.0,2
pick_cup,unseen,n,2,20.0,0.0,2
pick_cup,unseen,restart_fraction,2,0.3100791406162938,0.41271607724004067,2
