agent,task,domain,metric,n_seeds,mean,std,n_defined_seeds,table
baseline,open_drawer,A_clear,auc,2,0.965,0.007071067811865481,2,adaptation
baseline,open_drawer,A_clear,frozen_initial_sr,2,0.925,0.03535533905932733,2,adaptation
baseline,open_drawer,A_clear,phase_start_sr,2,0.925,0.03535533905932733,2,adaptation
baseline,open_drawer,A_clear,phase_after_sr,2,0.925,0.03535533905932733,2,adaptation
baseline,open_drawer,A_clear,phase_gain_pp,2,0.0,7.071067811865465,2,adaptation
baseline,open_drawer,A_clear,total_gain_from_frozen_pp,2,0.0,7.071067811865465,2,adaptation
baseline,open_drawer,B_passage_blocked,auc,2,0.42500000000000004,0.007071067811865442,2,adaptation
baseline,open_drawer,B_passage_blocked,frozen_initial_sr,2,0.4,0.07071067811865477,2,adaptation
baseline,open_drawer,B_passage_blocked,phase_start_sr,2,0.45,0.07071067811865474,2,adaptation
baseline,open_drawer,B_passage_blocked,phase_after_sr,2,0.45,0.07071067811865474,2,adaptation
baseline,open_drawer,B_passage_blocked,phase_gain_pp,2,0.0,0.0,2,adaptation
baseline,open_drawer,B_passage_blocked,total_gain_from_frozen_pp,2,5.000000000000002,3.76822190084106e-15,2,adaptation
baseline,open_drawer,C_workspace_clutter,auc,2,0.6399999999999999,0.08485281374238578,2,adaptation
baseline,open_drawer,C_workspace_clutter,frozen_initial_sr,2,0.65,0.21213203435596428,2,adaptation
baseline,open_drawer,C_workspace_clutter,phase_start_sr,2,0.6,0.21213203435596426,2,adaptation
baseline,open_drawer,C_workspace_clutter,phase_after_sr,2,0.6000000000000001,0.07071067811865474,2,adaptation
baseline,open_drawer,C_workspace_clutter,phase_gain_pp,2,1.7763568394002505e-15,28.284271247461902,2,adaptation
baseline,open_drawer,C_workspace_clutter,total_gain_from_frozen_pp,2,-4.999999999999999,28.284271247461902,2,adaptation
baseline,pick_cup,A_clear,auc,2,0.885,0.021213203435596368,2,adaptation
baseline,pick_cup,A_clear,frozen_initial_sr,2,0.95,0.0,2,adaptation
baseline,pick_cup,A_clear,phase_start_sr,2,0.95,0.0,2,adaptation
baseline,pick_cup,A_clear,phase_after_sr,2,0.975,0.03535533905932741,2,adaptation
baseline,pick_cup,A_clear,phase_gain_pp,2,2.500000000000002,3.535533905932741,2,adaptation
baseline,pick_cup,A_clear,total_gain_from_frozen_pp,2,2.500000000000002,3.535533905932741,2,adaptation
baseline,pick_cup,B_passage_blocked,auc,2,0.215,0.007071067811865521,2,adaptation
baseline,pick_cup,B_passage_blocked,frozen_initial_sr,2,0.3,0.07071067811865474,2,adaptation
baseline,pick_cup,B_passage_blocked,phase_start_sr,2,0.425,0.10606601717798214,2,adaptation
baseline,pick_cup,B_passage_blocked,phase_after_sr,2,0.525,0.1767766952966369,2,adaptation
baseline,pick_cup,B_passage_blocked,phase_gain_pp,2,10.000000000000004,28.284271247461902,2,adaptation
baseline,pick_cup,B_passage_blocked,total_gain_from_frozen_pp,2,22.500000000000004,10.606601717798215,2,adaptation
baseline,pick_cup,C_workspace_clutter,auc,2,0.7550000000000001,0.09192388155425117,2,adaptation
baseline,pick_cup,C_workspace_clutter,frozen_initial_sr,2,0.625,0.03535533905932741,2,adaptation
baseline,pick_cup,C_workspace_clutter,phase_start_sr,2,0.7749999999999999,0.10606601717798214,2,adaptation
baseline,pick_cup,C_workspace_clutter,phase_after_sr,2,0.8,0.21213203435596423,2,adaptation
baseline,pick_cup,C_workspace_clutter,phase_gain_pp,2,2.5000000000000027,10.606601717798206,2,adaptation
baseline,pick_cup,C_workspace_clutter,total_gain_from_frozen_pp,2,17.5,17.67766952966368,2,adaptation
metacognitive,open_drawer,A_clear,auc,2,0.9500000000000002,0.04242640687119281,2,adaptation
metacognitive,open_drawer,A_clear,frozen_initial_sr,2,0.7749999999999999,0.24748737341529162,2,adaptation
metacognitive,open_drawer,A_clear,phase_start_sr,2,0.7749999999999999,0.24748737341529162,2,adaptation
metacognitive,open_drawer,A_clear,phase_after_sr,2,0.875,0.03535533905932741,2,adaptation
metacognitive,open_drawer,A_clear,phase_gain_pp,2,10.000000000000004,21.21320343559642,2,adaptation
metacognitive,open_drawer,A_clear,total_gain_from_frozen_pp,2,10.000000000000004,21.21320343559642,2,adaptation
metacognitive,open_drawer,B_passage_blocked,auc,2,0.5800000000000001,0.07071067811865474,2,adaptation
metacognitive,open_drawer,B_passage_blocked,frozen_initial_sr,2,0.4,0.14142135623730953,2,adaptation
metacognitive,open_drawer,B_passage_blocked,phase_start_sr,2,0.375,0.03535533905932741,2,adaptation
metacognitive,open_drawer,B_passage_blocked,phase_after_sr,2,0.4,0.0,2,adaptation
metacognitive,open_drawer,B_passage_blocked,phase_gain_pp,2,2.500000000000002,3.535533905932741,2,adaptation
metacognitive,open_drawer,B_passage_blocked,total_gain_from_frozen_pp,2,2.6645352591003757e-15,14.142135623730951,2,adaptation
metacognitive,open_drawer,C_workspace_clutter,auc,2,0.475,0.007071067811865521,2,adaptation
metacognitive,open_drawer,C_workspace_clutter,frozen_initial_sr,2,0.55,0.07071067811865474,2,adaptation
metacognitive,open_drawer,C_workspace_clutter,phase_start_sr,2,0.55,0.07071067811865474,2,adaptation
metacognitive,open_drawer,C_workspace_clutter,phase_after_sr,2,0.6000000000000001,0.07071067811865474,2,adaptation
metacognitive,open_drawer,C_workspace_clutter,phase_gain_pp,2,5.000000000000004,14.142135623730946,2,adaptation
metacognitive,open_drawer,C_workspace_clutter,total_gain_from_frozen_pp,2,5.000000000000004,0.0,2,adaptation
metacognitive,pick_cup,A_clear,auc,2,0.875,0.03535533905932741,2,adaptation
metacognitive,pick_cup,A_clear,frozen_initial_sr,2,1.0,0.0,2,adaptation
metacognitive,pick_cup,A_clear,phase_start_sr,2,1.0,0.0,2,adaptation
metacognitive,pick_cup,A_clear,phase_after_sr,2,1.0,0.0,2,adaptation
metacognitive,pick_cup,A_clear,phase_gain_pp,2,0.0,0.0,2,adaptation
metacognitive,pick_cup,A_clear,total_gain_from_frozen_pp,2,0.0,0.0,2,adaptation
metacognitive,pick_cup,B_passage_blocked,auc,2,0.18,0.0,2,adaptation
metacognitive,pick_cup,B_passage_blocked,frozen_initial_sr,2,0.2,0.0,2,adaptation
metacognitive,pick_cup,B_passage_blocked,phase_start_sr,2,0.375,0.1767766952966369,2,adaptation
metacognitive,pick_cup,B_passage_blocked,phase_after_sr,2,0.44999999999999996,0.21213203435596426,2,adaptation
metacognitive,pick_cup,B_passage_blocked,phase_gain_pp,2,7.5,38.890872965260115,2,adaptation
metacognitive,pick_cup,B_passage_blocked,total_gain_from_frozen_pp,2,25.0,21.213203435596427,2,adaptation
metacognitive,pick_cup,C_workspace_clutter,auc,2,0.6799999999999999,0.056568542494923775,2,adaptation
metacognitive,pick_cup,C_workspace_clutter,frozen_initial_sr,2,0.6499999999999999,0.07071067811865474,2,adaptation
metacognitive,pick_cup,C_workspace_clutter,phase_start_sr,2,0.8,0.0,2,adaptation
metacognitive,pick_cup,C_workspace_clutter,phase_after_sr,2,0.825,0.03535533905932733,2,adaptation
metacognitive,pick_cup,C_workspace_clutter,phase_gain_pp,2,2.4999999999999964,3.5355339059327324,2,adaptation
metacognitive,pick_cup,C_workspace_clutter,total_gain_from_frozen_pp,2,17.500000000000004,3.5355339059327413,2,adaptation
baseline,open_drawer,,final_average_success,2,0.6916666666666667,0.03535533905932749,2,retention
baseline,open_drawer,,backward_transfer,2,0.04999999999999999,0.03535533905932741,2,retention
baseline,open_drawer,,average_forgetting,2,0.012500000000000011,0.017677669529663705,2,retention
baseline,pick_cup,,final_average_success,2,0.775,0.08249579113843056,2,retention
baseline,pick_cup,,backward_transfer,2,0.012499999999999983,0.05303300858899107,2,retention
baseline,pick_cup,,average_forgetting,2,0.03750000000000003,0.017677669529663705,2,retention
metacognitive,open_drawer,,final_average_success,2,0.65,0.07071067811865482,2,retention
metacognitive,open_drawer,,backward_transfer,2,0.037500000000000006,0.08838834764831847,2,retention
metacognitive,open_drawer,,average_forgetting,2,0.03749999999999998,0.017677669529663705,2,retention
metacognitive,pick_cup,,final_average_success,2,0.7583333333333333,0.03535533905932733,2,retention
metacognitive,pick_cup,,backward_transfer,2,1.3877787807814457e-17,0.03535533905932735,2,retention
metacognitive,pick_cup,,average_forgetting,2,0.012499999999999983,0.017677669529663664,2,retention
