agent,scope,domain,metric,n_seeds,mean,std,n_defined_seeds
baseline,all_training,,episodes,2,120.0,0.0,2
baseline,all_training,,steps,2,12124.0,346.4823227814083,2
baseline,all_training,,total_gflops,2,591.4443202560001,19.0931896896039,2
baseline,all_training,,meta_inference_gflops,2,0.0,0.0,2
baseline,all_training,,meta_update_gflops,2,0.0,0.0,2
baseline,all_training,,world_update_gflops,2,77.8899456,0.0,2
baseline,continual,A_clear,episodes,2,20.0,0.0,2
baseline,continual,A_clear,steps,2,1182.0,161.22034611053283,2
baseline,continual,A_clear,total_gflops,2,64.129388544,6.97635777120143,2
baseline,continual,A_clear,meta_inference_gflops,2,0.0,0.0,2
baseline,continual,A_clear,meta_update_gflops,2,0.0,0.0,2
baseline,continual,A_clear,world_update_gflops,2,12.9816576,0.0,2
baseline,continual,B_passage_blocked,episodes,2,20.0,0.0,2
baseline,continual,B_passage_blocked,steps,2,3813.0,429.9209229614209,2
baseline,continual,B_passage_blocked,total_gflops,2,177.97852569600002,18.60362072320382,2
baseline,continual,B_passage_blocked,meta_inference_gflops,2,0.0,0.0,2
baseline,continual,B_passage_blocked,meta_update_gflops,2,0.0,0.0,2
baseline,continual,B_passage_blocked,world_update_gflops,2,12.9816576,0.0,2
baseline,continual,C_workspace_clutter,episodes,2,20.0,0.0,2
baseline,continual,C_workspace_clutter,steps,2,3125.5,95.45941546018392,2
baseline,continual,C_workspace_clutter,total_gflops,2,148.228893696,4.130738154000842,2
baseline,continual,C_workspace_clutter,meta_inference_gflops,2,0.0,0.0,2
baseline,continual,C_workspace_clutter,meta_update_gflops,2,0.0,0.0,2
baseline,continual,C_workspace_clutter,world_update_gflops,2,12.9816576,0.0,2
baseline,continual_total,,episodes,2,60.0,0.0,2
baseline,continual_total,,steps,2,8120.5,173.24116139070415,2
baseline,continual_total,,total_gflops,2,390.336807936,7.496524798001538,2
baseline,continual_total,,meta_inference_gflops,2,0.0,0.0,2
baseline,continual_total,,meta_update_gflops,2,0.0,0.0,2
baseline,continual_total,,world_update_gflops,2,38.9449728,0.0,2
baseline,evaluation_completed_calls,,episodes,2,1060.0,0.0,2
baseline,evaluation_completed_calls,,steps,2,116907.0,2450.8321035925737,2
baseline,evaluation_completed_calls,,total_gflops,2,5058.822150144,106.05287734642204,2
baseline,evaluation_completed_calls,,meta_inference_gflops,2,,,0
baseline,evaluation_completed_calls,,meta_update_gflops,2,,,0
baseline,evaluation_completed_calls,,world_update_gflops,2,,,0
baseline,initial_training,,episodes,2,60.0,0.0,2
baseline,initial_training,,steps,2,4003.5,173.24116139070415,2
baseline,initial_training,,total_gflops,2,201.10751232,11.596664891602382,2
baseline,initial_training,,meta_inference_gflops,2,0.0,0.0,2
baseline,initial_training,,meta_update_gflops,2,0.0,0.0,2
baseline,initial_training,,world_update_gflops,2,38.9449728,0.0,2
metacognitive,all_training,,episodes,2,120.0,0.0,2
metacognitive,all_training,,steps,2,12009.5,344.36100243784864,2
metacognitive,all_training,,total_gflops,2,603.9783638145,21.46152085549919,2
metacognitive,all_training,,meta_inference_gflops,2,0.1419672425,0.00702756730979366,2
metacognitive,all_training,,meta_update_gflops,2,3.181459249,0.00038344279423368387,2
metacognitive,all_training,,world_update_gflops,2,77.8899456,0.0,2
metacognitive,continual,A_clear,episodes,2,20.0,0.0,2
metacognitive,continual,A_clear,steps,2,1211.5,12.020815280171307,2
metacognitive,continual,A_clear,total_gflops,2,70.9673883815,2.3559800327533513,2
metacognitive,continual,A_clear,meta_inference_gflops,2,0.015936069,0.000713077590846886,2
metacognitive,continual,A_clear,meta_update_gflops,2,0.5504906015,0.00013448393160709344,2
metacognitive,continual,A_clear,world_update_gflops,2,12.9816576,0.0,2
metacognitive,continual,B_passage_blocked,episodes,2,20.0,0.0,2
metacognitive,continual,B_passage_blocked,steps,2,3899.0,294.15642097360376,2
metacognitive,continual,B_passage_blocked,total_gflops,2,191.9852396855,8.417845609558185,2
metacognitive,continual,B_passage_blocked,meta_inference_gflops,2,0.058237641,0.005810956858743487,2
metacognitive,continual,B_passage_blocked,meta_update_gflops,2,0.5532397025,0.00043661086021825604,2
metacognitive,continual,B_passage_blocked,world_update_gflops,2,12.9816576,0.0,2
metacognitive,continual,C_workspace_clutter,episodes,2,20.0,0.0,2
metacognitive,continual,C_workspace_clutter,steps,2,2766.5,259.50818869546293,2
metacognitive,continual,C_workspace_clutter,total_gflops,2,127.3208880505,21.759229342535278,2
metacognitive,continual,C_workspace_clutter,meta_inference_gflops,2,0.035189388,0.008338003759639473,2
metacognitive,continual,C_workspace_clutter,meta_update_gflops,2,0.5543581135,3.1275332932101274e-06,2
metacognitive,continual,C_workspace_clutter,world_update_gflops,2,12.9816576,0.0,2
metacognitive,continual_total,,episodes,2,60.0,0.0,2
metacognitive,continual_total,,steps,2,7877.0,22.627416997969522,2
metacognitive,continual_total,,total_gflops,2,390.2735161175,15.697363765730383,2
metacognitive,continual_total,,meta_inference_gflops,2,0.10936309799999999,0.0018139693100491072,2
metacognitive,continual_total,,meta_update_gflops,2,1.6580884175,0.0002989993953179525,2
metacognitive,continual_total,,world_update_gflops,2,38.9449728,0.0,2
metacognitive,evaluation_completed_calls,,episodes,2,1060.0,0.0,2
metacognitive,evaluation_completed_calls,,steps,2,118907.0,1315.2186130069783,2
metacognitive,evaluation_completed_calls,,total_gflops,2,5511.918536257999,374.6167669096588,2
metacognitive,evaluation_completed_calls,,meta_inference_gflops,2,,,0
metacognitive,evaluation_completed_calls,,meta_update_gflops,2,,,0
metacognitive,evaluation_completed_calls,,world_update_gflops,2,,,0
metacognitive,initial_training,,episodes,2,60.0,0.0,2
metacognitive,initial_training,,steps,2,4132.5,321.7335854398791,2
metacognitive,initial_training,,total_gflops,2,213.704847697,5.764157089768747,2
metacognitive,initial_training,,meta_inference_gflops,2,0.0326041445,0.00884153661984276,2
metacognitive,initial_training,,meta_update_gflops,2,1.5233708315,8.444339891604541e-05,2
metacognitive,initial_training,,world_update_gflops,2,38.9449728,0.0,2
