agent,task,split,diagnostic,metric,n_seeds,mean,std,n_defined_seeds
baseline,open_drawer,seen,collision.brier,value,2,,,0
baseline,open_drawer,seen,collision.discrimination_auc,value,2,,,0
baseline,open_drawer,seen,collision.ece,value,2,,,0
baseline,open_drawer,seen,collision.n,value,2,0.0,0.0,2
baseline,open_drawer,seen,n,value,2,0.0,0.0,2
baseline,open_drawer,seen,phase.brier,value,2,,,0
baseline,open_drawer,seen,phase.discrimination_auc,value,2,,,0
baseline,open_drawer,seen,phase.ece,value,2,,,0
baseline,open_drawer,seen,phase.n,value,2,0.0,0.0,2
baseline,open_drawer,seen,prediction_error_mae,value,2,,,0
baseline,open_drawer,seen,prediction_error_rmse,value,2,,,0
baseline,open_drawer,seen,raw_collision.brier,value,2,,,0
baseline,open_drawer,seen,raw_collision.discrimination_auc,value,2,,,0
baseline,open_drawer,seen,raw_collision.ece,value,2,,,0
baseline,open_drawer,seen,raw_collision.n,value,2,0.0,0.0,2
baseline,open_drawer,seen,raw_phase.brier,value,2,,,0
baseline,open_drawer,seen,raw_phase.discrimination_auc,value,2,,,0
baseline,open_drawer,seen,raw_phase.ece,value,2,,,0
baseline,open_drawer,seen,raw_phase.n,value,2,0.0,0.0,2
baseline,open_drawer,unseen,collision.brier,value,2,,,0
baseline,open_drawer,unseen,collision.discrimination_auc,value,2,,,0
baseline,open_drawer,unseen,collision.ece,value,2,,,0
baseline,open_drawer,unseen,collision.n,value,2,0.0,0.0,2
baseline,open_drawer,unseen,n,value,2,0.0,0.0,2
baseline,open_drawer,unseen,phase.brier,value,2,,,0
baseline,open_drawer,unseen,phase.discrimination_auc,value,2,,,0
baseline,open_drawer,unseen,phase.ece,value,2,,,0
baseline,open_drawer,unseen,phase.n,value,2,0.0,0.0,2
baseline,open_drawer,unseen,prediction_error_mae,value,2,,,0
baseline,open_drawer,unseen,prediction_error_rmse,value,2,,,0
baseline,open_drawer,unseen,raw_collision.brier,value,2,,,0
baseline,open_drawer,unseen,raw_collision.discrimination_auc,value,2,,,0
baseline,open_drawer,unseen,raw_collision.ece,value,2,,,0
baseline,open_drawer,unseen,raw_collision.n,value,2,0.0,0.0,2
baseline,open_drawer,unseen,raw_phase.brier,value,2,,,0
baseline,open_drawer,unseen,raw_phase.discrimination_auc,value,2,,,0
baseline,open_drawer,unseen,raw_phase.ece,value,2,,,0
baseline,open_drawer,unseen,raw_phase.n,value,2,0.0,0.0,2
baseline,pick_cup,seen,collision.brier,value,2,,,0
baseline,pick_cup,seen,collision.discrimination_auc,value,2,,,0
baseline,pick_cup,seen,collision.ece,value,2,,,0
baseline,pick_cup,seen,collision.n,value,2,0.0,0.0,2
baseline,pick_cup,seen,n,value,2,0.0,0.0,2
baseline,pick_cup,seen,phase.brier,value,2,,,0
baseline,pick_cup,seen,phase.discrimination_auc,value,2,,,0
baseline,pick_cup,seen,phase.ece,value,2,,,0
baseline,pick_cup,seen,phase.n,value,2,0.0,0.0,2
baseline,pick_cup,seen,prediction_error_mae,value,2,,,0
baseline,pick_cup,seen,prediction_error_rmse,value,2,,,0
baseline,pick_cup,seen,raw_collision.brier,value,2,,,0
baseline,pick_cup,seen,raw_collision.discrimination_auc,value,2,,,0
baseline,pick_cup,seen,raw_collision.ece,value,2,,,0
baseline,pick_cup,seen,raw_collision.n,value,2,0.0,0.0,2
baseline,pick_cup,seen,raw_phase.brier,value,2,,,0
baseline,pick_cup,seen,raw_phase.discrimination_auc,value,2,,,0
baseline,pick_cup,seen,raw_phase.ece,value,2,,,0
baseline,pick_cup,seen,raw_phase.n,value,2,0.0,0.0,2
baseline,pick_cup,unseen,collision.brier,value,2,,,0
baseline,pick_cup,unseen,collision.discrimination_auc,value,2,,,0
baseline,pick_cup,unseen,collision.ece,value,2,,,0
baseline,pick_cup,unseen,collision.n,value,2,0.0,0.0,2
baseline,pick_cup,unseen,n,value,2,0.0,0.0,2
baseline,pick_cup,unseen,phase.brier,value,2,,,0
baseline,pick_cup,unseen,phase.discrimination_auc,value,2,,,0
baseline,pick_cup,unseen,phase.ece,value,2,,,0
baseline,pick_cup,unseen,phase.n,value,2,0.0,0.0,2
baseline,pick_cup,unseen,prediction_error_mae,value,2,,,0
baseline,pick_cup,unseen,prediction_error_rmse,value,2,,,0
baseline,pick_cup,unseen,raw_collision.brier,value,2,,,0
baseline,pick_cup,unseen,raw_collision.discrimination_auc,value,2,,,0
baseline,pick_cup,unseen,raw_collision.ece,value,2,,,0
baseline,pick_cup,unseen,raw_collision.n,value,2,0.0,0.0,2
baseline,pick_cup,unseen,raw_phase.brier,value,2,,,0
baseline,pick_cup,unseen,raw_phase.discrimination_auc,value,2,,,0
baseline,pick_cup,unseen,raw_phase.ece,value,2,,,0
baseline,pick_cup,unseen,raw_phase.n,value,2,0.0,0.0,2
metacognitive,open_drawer,seen,collision.brier,value,2,0.05421913645626604,0.012221330830494087,2
metacognitive,open_drawer,seen,collision.discrimination_auc,value,2,0.8151171675945479,0.007866713334955637,2
metacognitive,open_drawer,seen,collision.ece,value,2,0.027636481793451514,0.007601655447857227,2
metacognitive,open_drawer,seen,collision.high_confidence_failures,value,2,0.0,0.0,2
metacognitive,open_drawer,seen,collision.high_confidence_n,value,2,0.0,0.0,2
metacognitive,open_drawer,seen,collision.n,value,2,1581.5,26.16295090390226,2
metacognitive,open_drawer,seen,n,value,2,1581.5,26.16295090390226,2
metacognitive,open_drawer,seen,phase.brier,value,2,0.2539069798463353,0.16799293807692534,2
metacognitive,open_drawer,seen,phase.discrimination_auc,value,2,0.8041289679424557,0.006370481246634181,2
metacognitive,open_drawer,seen,phase.ece,value,2,0.2505237714247731,0.1815879034737356,2
metacognitive,open_drawer,seen,phase.high_confidence_failures,value,2,411.5,251.02290732122438,2
metacognitive,open_drawer,seen,phase.high_confidence_n,value,2,1485.0,145.6639969244288,2
metacognitive,open_drawer,seen,phase.n,value,2,1581.5,26.16295090390226,2
metacognitive,open_drawer,seen,prediction_error_mae,value,2,0.08128642581689194,0.00426004365000487,2
metacognitive,open_drawer,seen,prediction_error_rmse,value,2,0.09304363118299963,0.0015046761372103483,2
metacognitive,open_drawer,seen,raw_collision.brier,value,2,0.05428783024792608,0.014389823790433003,2
metacognitive,open_drawer,seen,raw_collision.discrimination_auc,value,2,0.8151171675945479,0.007866713334955637,2
metacognitive,open_drawer,seen,raw_collision.ece,value,2,0.0317166244093103,0.00507044398841336,2
metacognitive,open_drawer,seen,raw_collision.high_confidence_failures,value,2,0.0,0.0,2
metacognitive,open_drawer,seen,raw_collision.high_confidence_n,value,2,0.0,0.0,2
metacognitive,open_drawer,seen,raw_collision.n,value,2,1581.5,26.16295090390226,2
metacognitive,open_drawer,seen,raw_phase.brier,value,2,0.2539069798463353,0.16799293807692534,2
metacognitive,open_drawer,seen,raw_phase.discrimination_auc,value,2,0.8041289679424557,0.006370481246634181,2
metacognitive,open_drawer,seen,raw_phase.ece,value,2,0.2505237714247731,0.1815879034737356,2
metacognitive,open_drawer,seen,raw_phase.high_confidence_failures,value,2,411.5,251.02290732122438,2
metacognitive,open_drawer,seen,raw_phase.high_confidence_n,value,2,1485.0,145.6639969244288,2
metacognitive,open_drawer,seen,raw_phase.n,value,2,1581.5,26.16295090390226,2
metacognitive,open_drawer,unseen,collision.brier,value,2,0.039308474745072514,0.018783366633455145,2
metacognitive,open_drawer,unseen,collision.discrimination_auc,value,2,0.9106050732538944,0.002236876613784036,2
metacognitive,open_drawer,unseen,collision.ece,value,2,0.02564232503577021,0.0003073149411092407,2
metacognitive,open_drawer,unseen,collision.high_confidence_failures,value,2,0.0,0.0,2
metacognitive,open_drawer,unseen,collision.high_confidence_n,value,2,2.0,2.8284271247461903,2
metacognitive,open_drawer,unseen,collision.n,value,2,1084.5,132.22896808188437,2
metacognitive,open_drawer,unseen,n,value,2,1084.5,132.22896808188437,2
metacognitive,open_drawer,unseen,phase.brier,value,2,0.09999136202305535,0.1387265664621038,2
metacognitive,open_drawer,unseen,phase.discrimination_auc,value,2,0.8856358189081225,,1
metacognitive,open_drawer,unseen,phase.ece,value,2,0.10067855083626245,0.11048723787653913,2
metacognitive,open_drawer,unseen,phase.high_confidence_failures,value,2,101.5,143.54267658086914,2
metacognitive,open_drawer,unseen,phase.high_confidence_n,value,2,1041.0,156.97770542341354,2
metacognitive,open_drawer,unseen,phase.n,value,2,1084.5,132.22896808188437,2
metacognitive,open_drawer,unseen,prediction_error_mae,value,2,0.0904049003395225,0.005810377013674028,2
metacognitive,open_drawer,unseen,prediction_error_rmse,value,2,0.10768774641096124,0.0030664737534973705,2
metacognitive,open_drawer,unseen,raw_collision.brier,value,2,0.041593518399579935,0.019228976891051713,2
metacognitive,open_drawer,unseen,raw_collision.discrimination_auc,value,2,0.9106050732538944,0.002236876613784036,2
metacognitive,open_drawer,unseen,raw_collision.ece,value,2,0.03653439088138506,0.003889253777035416,2
metacognitive,open_drawer,unseen,raw_collision.high_confidence_failures,value,2,0.0,0.0,2
metacognitive,open_drawer,unseen,raw_collision.high_confidence_n,value,2,0.0,0.0,2
metacognitive,open_drawer,unseen,raw_collision.n,value,2,1084.5,132.22896808188437,2
metacognitive,open_drawer,unseen,raw_phase.brier,value,2,0.09999136202305535,0.1387265664621038,2
metacognitive,open_drawer,unseen,raw_phase.discrimination_auc,value,2,0.8856358189081225,,1
metacognitive,open_drawer,unseen,raw_phase.ece,value,2,0.10067855083626245,0.11048723787653913,2
metacognitive,open_drawer,unseen,raw_phase.high_confidence_failures,value,2,101.5,143.54267658086914,2
metacognitive,open_drawer,unseen,raw_phase.high_confidence_n,value,2,1041.0,156.97770542341354,2
metacognitive,open_drawer,unseen,raw_phase.n,value,2,1084.5,132.22896808188437,2
metacognitive,pick_cup,seen,collision.brier,value,2,0.08700778452193206,0.018701747025480466,2
metacognitive,pick_cup,seen,collision.discrimination_auc,value,2,0.9614073278908584,0.007047474655326384,2
metacognitive,pick_cup,seen,collision.ece,value,2,0.07145241674399888,0.05831485652230678,2
metacognitive,pick_cup,seen,collision.high_confidence_failures,value,2,18.0,0.0,2
metacognitive,pick_cup,seen,collision.high_confidence_n,value,2,403.5,45.96194077712559,2
metacognitive,pick_cup,seen,collision.n,value,2,1195.5,26.16295090390226,2
metacognitive,pick_cup,seen,n,value,2,1195.5,26.16295090390226,2
metacognitive,pick_cup,seen,phase.brier,value,2,0.16430785576618145,0.05220834311570768,2
metacognitive,pick_cup,seen,phase.discrimination_auc,value,2,0.9437974656533711,0.0396072797941958,2
metacognitive,pick_cup,seen,phase.ece,value,2,0.19893128537292631,0.02907341355055784,2
metacognitive,pick_cup,seen,phase.high_confidence_failures,value,2,26.0,21.213203435596427,2
metacognitive,pick_cup,seen,phase.high_confidence_n,value,2,646.0,121.62236636408618,2
metacognitive,pick_cup,seen,phase.n,value,2,1195.5,26.16295090390226,2
metacognitive,pick_cup,seen,prediction_error_mae,value,2,0.1575894915649732,0.009522890937959955,2
metacognitive,pick_cup,seen,prediction_error_rmse,value,2,0.19572641423308812,0.0009640448048369605,2
metacognitive,pick_cup,seen,raw_collision.brier,value,2,0.09670127823865741,0.026267637859558265,2
metacognitive,pick_cup,seen,raw_collision.discrimination_auc,value,2,0.9614073278908584,0.007047474655326384,2
metacognitive,pick_cup,seen,raw_collision.ece,value,2,0.1029270391049896,0.07164715731802032,2
metacognitive,pick_cup,seen,raw_collision.high_confidence_failures,value,2,10.0,8.48528137423857,2
metacognitive,pick_cup,seen,raw_collision.high_confidence_n,value,2,307.5,106.77312395916867,2
metacognitive,pick_cup,seen,raw_collision.n,value,2,1195.5,26.16295090390226,2
metacognitive,pick_cup,seen,raw_phase.brier,value,2,0.16430785576618145,0.05220834311570768,2
metacognitive,pick_cup,seen,raw_phase.discrimination_auc,value,2,0.9437974656533711,0.0396072797941958,2
metacognitive,pick_cup,seen,raw_phase.ece,value,2,0.19893128537292631,0.02907341355055784,2
