agent,task,split,metric,n_seeds,mean,std,n_defined_seeds
baseline,open_drawer,seen,collision_steps,2,3.65,0.9192388155425116,2
baseline,open_drawer,seen,generalization_gap_pp,2,-2.499999999999997,10.606601717798215,2
baseline,open_drawer,seen,manipulation_collision_steps,2,0.0,0.0,2
baseline,open_drawer,seen,meta_gflops_episode,2,0.0,0.0,2
baseline,open_drawer,seen,nav_success_pct,2,97.5,3.5355339059327378,2
baseline,open_drawer,seen,nn_batch_forwards,2,3194.4,817.9811244765983,2
baseline,open_drawer,seen,nn_gflops_episode,2,2.8797643776,0.7374132556401513,2
baseline,open_drawer,seen,nn_gflops_per_success,2,3.179869756235294,1.1618263522472971,2
baseline,open_drawer,seen,steps,2,66.55,17.04127342659579,2
baseline,open_drawer,seen,steps_success_only,2,52.30882352941177,3.098791482258694,2
baseline,open_drawer,seen,success_pct,2,92.5,10.606601717798213,2
baseline,open_drawer,unseen,collision_steps,2,9.125,1.1667261889578024,2
baseline,open_drawer,unseen,generalization_gap_pp,2,-2.499999999999997,10.606601717798215,2
baseline,open_drawer,unseen,manipulation_collision_steps,2,0.0,0.0,2
baseline,open_drawer,unseen,meta_gflops_episode,2,0.0,0.0,2
baseline,open_drawer,unseen,nav_success_pct,2,100.0,0.0,2
baseline,open_drawer,unseen,nn_batch_forwards,2,2750.4,105.2174890405584,2
baseline,open_drawer,unseen,nn_gflops_episode,2,2.4794966016,0.0948539872400191,2
baseline,open_drawer,unseen,nn_gflops_per_success,2,2.609996422736842,0.09984630235791554,2
baseline,open_drawer,unseen,steps,2,57.3,2.1920310216782983,2
baseline,open_drawer,unseen,steps_success_only,2,47.684210526315795,2.3074010754508394,2
baseline,open_drawer,unseen,success_pct,2,95.0,0.0,2
baseline,pick_cup,seen,collision_steps,2,46.3,2.899137802864846,2
baseline,pick_cup,seen,generalization_gap_pp,2,-15.000000000000002,0.0,2
baseline,pick_cup,seen,manipulation_collision_steps,2,0.0,0.0,2
baseline,pick_cup,seen,meta_gflops_episode,2,0.0,0.0,2
baseline,pick_cup,seen,nav_success_pct,2,87.5,3.5355339059327378,2
baseline,pick_cup,seen,nn_batch_forwards,2,3662.4,492.1463197058371,2
baseline,pick_cup,seen,nn_gflops_episode,2,3.3016682496,0.44367187580009093,2
baseline,pick_cup,seen,nn_gflops_per_success,2,3.884315587764706,0.5219669127059892,2
baseline,pick_cup,seen,steps,2,76.3,10.253048327204938,2
baseline,pick_cup,seen,steps_success_only,2,47.41176470588235,12.06240979671169,2
baseline,pick_cup,seen,success_pct,2,85.0,0.0,2
baseline,pick_cup,unseen,collision_steps,2,16.75,1.2727922061357848,2
baseline,pick_cup,unseen,generalization_gap_pp,2,-15.000000000000002,0.0,2
baseline,pick_cup,unseen,manipulation_collision_steps,2,0.0,0.0,2
baseline,pick_cup,unseen,meta_gflops_episode,2,0.0,0.0,2
baseline,pick_cup,unseen,nav_success_pct,2,100.0,0.0,2
baseline,pick_cup,unseen,nn_batch_forwards,2,2376.0,122.18805178903554,2
baseline,pick_cup,unseen,nn_gflops_episode,2,2.141973504,0.11015301744002251,2
baseline,pick_cup,unseen,nn_gflops_per_success,2,2.141973504,0.11015301744002251,2
baseline,pick_cup,unseen,steps,2,49.5,2.545584412271567,2
baseline,pick_cup,unseen,steps_success_only,2,49.5,2.545584412271567,2
baseline,pick_cup,unseen,success_pct,2,100.0,0.0,2
metacognitive,open_drawer,seen,collision_steps,2,5.45,1.6970562748477143,2
metacognitive,open_drawer,seen,generalization_gap_pp,2,-9.999999999999998,0.0,2
metacognitive,open_drawer,seen,manipulation_collision_steps,2,0.0,0.0,2
metacognitive,open_drawer,seen,meta_gflops_episode,2,0.001176407425,5.2386182660900724e-05,2
metacognitive,open_drawer,seen,nav_success_pct,2,90.0,7.0710678118654755,2
metacognitive,open_drawer,seen,nn_batch_forwards,2,7957.0,62.43752877877163,2
metacognitive,open_drawer,seen,nn_gflops_episode,2,3.846818157175,0.08594937899339218,2
metacognitive,open_drawer,seen,nn_gflops_per_success,2,4.401941532348039,0.27609315930159056,2
metacognitive,open_drawer,seen,steps,2,79.075,1.308147545195109,2
metacognitive,open_drawer,seen,steps_success_only,2,55.90522875816993,8.933577830284944,2
metacognitive,open_drawer,seen,success_pct,2,87.5,3.5355339059327378,2
metacognitive,open_drawer,unseen,collision_steps,2,4.2,1.909188309203678,2
metacognitive,open_drawer,unseen,generalization_gap_pp,2,-9.999999999999998,0.0,2
metacognitive,open_drawer,unseen,manipulation_collision_steps,2,0.0,0.0,2
metacognitive,open_drawer,unseen,meta_gflops_episode,2,0.000740520775,0.0001312000216492408,2
metacognitive,open_drawer,unseen,nav_success_pct,2,97.5,3.5355339059327378,2
metacognitive,open_drawer,unseen,nn_batch_forwards,2,5322.700000000001,676.5597682392888,2
metacognitive,open_drawer,unseen,nn_gflops_episode,2,2.6926691448249995,0.24481259405335945,2
metacognitive,open_drawer,unseen,nn_gflops_per_success,2,2.7589733684947366,0.1510442616969984,2
metacognitive,open_drawer,unseen,steps,2,54.224999999999994,6.6114484040942205,2
metacognitive,open_drawer,unseen,steps_success_only,2,49.21315789473684,13.6992634818299,2
metacognitive,open_drawer,unseen,success_pct,2,97.5,3.5355339059327378,2
metacognitive,pick_cup,seen,collision_steps,2,30.975,0.24748737341529012,2
metacognitive,pick_cup,seen,generalization_gap_pp,2,-7.499999999999996,3.5355339059327413,2
metacognitive,pick_cup,seen,manipulation_collision_steps,2,0.0,0.0,2
metacognitive,pick_cup,seen,meta_gflops_episode,2,0.0008904604750000001,8.616354222733215e-05,2
metacognitive,pick_cup,seen,nav_success_pct,2,90.0,0.0,2
metacognitive,pick_cup,seen,nn_batch_forwards,2,5903.65,182.07999615553598,2
metacognitive,pick_cup,seen,nn_gflops_episode,2,2.804479510825,0.0675567653938215,2
metacognitive,pick_cup,seen,nn_gflops_per_success,2,3.116088345361111,0.07506307265980176,2
metacognitive,pick_cup,seen,steps,2,59.775000000000006,1.308147545195114,2
metacognitive,pick_cup,seen,steps_success_only,2,39.75,1.4534972724390154,2
metacognitive,pick_cup,seen,success_pct,2,90.0,0.0,2
metacognitive,pick_cup,unseen,collision_steps,2,20.325,15.662415203282027,2
metacognitive,pick_cup,unseen,generalization_gap_pp,2,-7.499999999999996,3.5355339059327413,2
metacognitive,pick_cup,unseen,manipulation_collision_steps,2,0.0,0.0,2
metacognitive,pick_cup,unseen,meta_gflops_episode,2,0.00074461205,0.00030118145613401405,2
metacognitive,pick_cup,unseen,nav_success_pct,2,97.5,3.5355339059327378,2
metacognitive,pick_cup,unseen,nn_batch_forwards,2,5275.775,1158.5591056350986,2
metacognitive,pick_cup,unseen,nn_gflops_episode,2,2.6377991102,0.22026209172912867,2
metacognitive,pick_cup,unseen,nn_gflops_per_success,2,2.711313529381579,0.3242271803656983,2
metacognitive,pick_cup,unseen,steps,2,54.875,9.93485027567099,2
metacognitive,pick_cup,unseen,steps_success_only,2,50.18815789473685,3.3066546057065653,2
metacognitive,pick_cup,unseen,success_pct,2,97.5,3.5355339059327378,2
