agent,task,scope,domain,n_seeds,reached_seeds,censored_seeds,reached_fraction,already_at_threshold_seeds,budget_episodes,mean_reached_episodes,std_reached_episodes,mean_all_seeds_episodes,mean_reached_train_steps,std_reached_train_steps,reached_seed_ids,censored_seed_ids,note
baseline,open_drawer,continual,A_clear,2,2,0,1.0,2,20,0.0,0.0,0.0,0.0,0.0,"[0, 1]",[],"Unreached N85 is > budget, not zero. Reached-only means are conditional; compare reach rates first."
baseline,open_drawer,continual,B_passage_blocked,2,0,2,0.0,0,20,,,,,,[],"[0, 1]","Unreached N85 is > budget, not zero. Reached-only means are conditional; compare reach rates first."
baseline,open_drawer,continual,C_workspace_clutter,2,0,2,0.0,0,20,,,,,,[],"[0, 1]","Unreached N85 is > budget, not zero. Reached-only means are conditional; compare reach rates first."
baseline,open_drawer,initial_training,,2,2,0,1.0,0,60,40.0,0.0,40.0,2618.5,118.08683245815344,"[0, 1]",[],"Unreached N85 is > budget, not zero. Reached-only means are conditional; compare reach rates first."
baseline,pick_cup,continual,A_clear,2,2,0,1.0,2,20,0.0,0.0,0.0,0.0,0.0,"[0, 1]",[],"Unreached N85 is > budget, not zero. Reached-only means are conditional; compare reach rates first."
baseline,pick_cup,continual,B_passage_blocked,2,0,2,0.0,0,20,,,,,,[],"[0, 1]","Unreached N85 is > budget, not zero. Reached-only means are conditional; compare reach rates first."
baseline,pick_cup,continual,C_workspace_clutter,2,1,1,0.5,0,20,8.0,,,1146.0,,[0],[1],"Unreached N85 is > budget, not zero. Reached-only means are conditional; compare reach rates first."
baseline,pick_cup,initial_training,,2,2,0,1.0,1,60,10.0,14.142135623730951,10.0,749.5,1059.9530649986348,"[0, 1]",[],"Unreached N85 is > budget, not zero. Reached-only means are conditional; compare reach rates first."
metacognitive,open_drawer,continual,A_clear,2,2,0,1.0,2,20,0.0,0.0,0.0,0.0,0.0,"[0, 1]",[],"Unreached N85 is > budget, not zero. Reached-only means are conditional; compare reach rates first."
metacognitive,open_drawer,continual,B_passage_blocked,2,0,2,0.0,0,20,,,,,,[],"[0, 1]","Unreached N85 is > budget, not zero. Reached-only means are conditional; compare reach rates first."
metacognitive,open_drawer,continual,C_workspace_clutter,2,0,2,0.0,0,20,,,,,,[],"[0, 1]","Unreached N85 is > budget, not zero. Reached-only means are conditional; compare reach rates first."
metacognitive,open_drawer,initial_training,,2,1,1,0.5,0,60,10.0,,,827.0,,[0],[1],"Unreached N85 is > budget, not zero. Reached-only means are conditional; compare reach rates first."
metacognitive,pick_cup,continual,A_clear,2,2,0,1.0,2,20,0.0,0.0,0.0,0.0,0.0,"[0, 1]",[],"Unreached N85 is > budget, not zero. Reached-only means are conditional; compare reach rates first."
metacognitive,pick_cup,continual,B_passage_blocked,2,0,2,0.0,0,20,,,,,,[],"[0, 1]","Unreached N85 is > budget, not zero. Reached-only means are conditional; compare reach rates first."
metacognitive,pick_cup,continual,C_workspace_clutter,2,0,2,0.0,0,20,,,,,,[],"[0, 1]","Unreached N85 is > budget, not zero. Reached-only means are conditional; compare reach rates first."
metacognitive,pick_cup,initial_training,,2,2,0,1.0,2,60,0.0,0.0,0.0,0.0,0.0,"[0, 1]",[],"Unreached N85 is > budget, not zero. Reached-only means are conditional; compare reach rates first."
